,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-1.332874007375214,21.629937575295504,-14.325823534689938,52.49023463378255
validation,-1.3449311944497586,22.113483306944396,-14.316205220572673,53.68019015263609
test,-2.1595852936880164,22.109644221132562,-14.325096264737361,53.644949593238145
