,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.7755586556595389,8.217823723114945,-0.7691340850444193,20.114771154082522
validation,1.78230759868185,9.601699544831378,-0.9863229344840687,23.489964603929995
test,0.7635956807383713,9.635288339384,-0.9783689873809012,23.411928569729948
