,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.2046331363413836,26.39097931618525,-22.102650867581296,63.27233287226215
validation,1.1975925581225648,27.454640496180378,-22.392007559782304,65.83178619742549
test,0.500076107378133,27.465020931477973,-22.43313194898456,65.75274877101421
