,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.2715630245836982,11.204638880857571,-5.282696526661327,27.37964569110245
validation,1.2366143551612399,11.684299315666925,-5.366839795130204,28.560997936205563
test,0.45511064941988505,11.698269386221972,-5.297386933132568,28.513567235687766
