,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,0.734649504623893,6.809361714331962,-0.8662293126747739,16.504823126554875
validation,0.7517328622262635,6.7899503548543,-0.8593989381036612,16.457473571768112
test,-0.2841432439639652,6.784807347636909,-0.8431806360483031,16.24350607399587
