,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,0.5561160967403443,14.063364435198423,-6.697733735449478,34.36503350447812
validation,0.5214924452388134,14.661470563628953,-6.822189237923141,35.81045091259784
test,-0.32620370373512536,14.663021190923557,-6.7557933150506715,35.718413785891826
