,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-0.4669087627267464,18.244092524290558,-11.760675472270366,44.3962513962533
validation,-0.4764569075286007,19.139617075667,-11.86056543334728,46.61343337474004
test,-1.3920259443289553,19.15358344282128,-11.849378626108058,46.57837210883784
