,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.1584130853563401,2.4752387522783446,0.13769236215159367,6.547317906620025
validation,1.1474611800715062,3.016166980174582,0.10877270124055023,7.771081982408462
test,0.19222128567960886,3.0239871481703764,0.11519019886617719,7.36717061544515
