,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.8350958772251802,11.805383721044493,-4.409317710232658,28.807254416295674
validation,1.789858220004073,12.146941199681324,-4.496660384572434,29.62442429169479
test,0.894710024731993,12.150074487045902,-4.619376226103542,29.5031386532046
