,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.602152377955708,9.53120817999174,-1.9629036911507167,22.925708623389447
validation,1.592698864311661,10.164817407828592,-2.080892181323817,24.454789871776043
test,0.6578559243975689,10.18717022603101,-2.0577384131211343,24.344445274816646
