,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-1.538739851002195,10.086127687503145,-9.00738462596257,38.77380622736567
validation,-1.665237281435444,10.58656121215536,-9.18251201820956,40.77453542975979
test,-0.37530456155387426,10.572093995895818,-9.201983223133588,40.21743525903435
