,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-0.6878990617603982,11.768784161863103,-6.179102912651096,44.849375766811455
validation,-0.6828680881318647,12.43680782526346,-6.445425397389109,47.40709694530447
test,-0.07840392417075709,12.42544786570411,-6.42763087337829,47.25462083811388
