,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-1.6790771003069254,10.040512875322031,-12.02826041720907,38.79942299987917
validation,-1.635743913515916,10.42263766564874,-12.18636714157423,40.06154273847907
test,-0.3897566152118276,10.404615891937924,-12.172457474893367,39.64372317098187
