,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-0.7945001238956568,1.2943127731872097,0.06110689300635011,5.859988219470802
validation,-0.8039165213111855,1.4101198121940768,0.05739627389389904,6.258072998869693
test,-0.1454686717715412,1.4069253204073404,0.05051584002495354,5.409886472086059
