,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.1680171075901316,2.7196697401722876,-0.6907621194620919,7.103906283066541
validation,1.1502051184869542,3.431177496035204,-0.7377911134804622,8.738370648430605
test,0.19573435351601556,3.4251705824652854,-0.7310030280761901,8.350347335485859
