,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-1.0376795898297975,0.4063024735669949,-0.19316417635290453,3.8365264059000315
validation,-1.0452030173216704,0.4103180890768662,-0.1914588675530914,3.8709508083296402
test,-0.2953926483420155,0.41034984304428407,-0.18989881806625397,1.6703464869167222
